AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,
8.77E-03,1.259271373,0.00E+00,2.44E-01,9.27E-03,3.195887447,5.09E-01,4.16E-03,7.48E-01,5.21E-03,1.226202774
4.94E-01,0.004452359,2.99E-03,7.57E-01,0.00E+00,3.807052678,1.49E+00,2.45E-01,4.94E-01,2.43E-01,0
1.25E+00,0.259455878,2.53E-01,7.42E-01,4.02E-03,3.408640692,2.44E-01,4.95E-01,2.50E-01,0.00E+00,0
6.97E-03,0.743989686,4.97E-01,9.09E-03,2.52E-01,3.394118419,0.00E+00,1.24E+00,5.26E-03,7.19E-03,0
0.00E+00,1.507891838,7.47E-01,2.43E-01,2.46E-01,4.793000857,7.58E-01,0.00E+00,8.43E-04,2.40E-01,0
2.44E-01,0.24805305,2.25E+00,0.00E+00,0.00E+00,1.393993134,0.00E+00,4.97E-01,2.53E-03,2.52E-01,0.483569303
2.51E+00,0.008461296,4.19E-04,2.60E-01,2.46E-01,0.994887275,7.41E-01,2.55E-01,0.00E+00,9.90E-03,0
6.20E-03,0,4.24E+00,0.00E+00,1.84E-03,1.003851602,0.00E+00,0.00E+00,9.87E-04,2.44E-01,0.355831977
2.43E-01,0.25258474,0.00E+00,7.51E-01,0.00E+00,4.801279264,3.74E-04,7.52E-01,0.00E+00,2.43E-01,0
4.54E-03,0.99862434,4.90E-01,7.50E-01,7.55E-01,1.39886936,2.55E-01,5.90E-03,2.47E-01,4.90E-01,0
0.00E+00,0.004669787,4.15E-03,1.67E-03,0.00E+00,4.794855223,2.56E-01,1.25E+00,4.96E-01,9.91E-01,0
